page,raw_data
208,"ウチヤマＨＤ
6059
東S
342 -2
-0.58% 1 22.7倍 0.46倍 2.92%"
208,"富士精
6142
名M
1,610 -10
-0.62% 1 58.2倍 0.22倍 3.11%"
208,"ヤマザキ
6147
東S
255 -3
-1.16% 1 47.1倍 1.09倍 3.92%"
