日付,順位,銘柄名,コード,市場,株価,前日差,騰落率,出来高,PER,PBR,配当利回り
20260522,58,住友不,8830,東P,"3,806",+58,+1.55%,"17,451",15.8倍,1.42倍,1.37%
20260522,59,中外薬,4519,東P,"7,836",-63,-0.80%,"17,017",ー倍,6.76倍,1.68%
20260522,60,武田,4502,東P,"5,180",-75,-1.43%,"16,964",49.3倍,1.05倍,3.94%
20260522,61,富士電機,6504,東P,"15,330","+1,265",+8.99%,"16,431",21.5倍,2.82倍,ー%
20260522,62,荏原,6361,東P,"5,036",+101,+2.05%,"16,428",23.1倍,4.44倍,1.31%
20260522,63,ダイフク,6383,東P,"6,701",-45,-0.67%,"16,382",30.8倍,5.38倍,1.22%
20260522,64,三井Ｅ＆Ｓ,7003,東P,"4,525",+223,+5.18%,"16,231",15.2倍,1.99倍,1.33%
20260522,65,大塚ＨＤ,4578,東P,"11,690",+285,+2.50%,"15,544",23.2倍,1.98倍,1.20%
20260522,66,郵船,9101,東P,"5,498",-112,-2.00%,"15,234",11.4倍,0.72倍,3.64%
20260522,67,楽天Ｗブル,1458,東Ｅ,"74,580","+4,140",+5.88%,"14,981",ー倍,ー倍,ー%
20260522,68,豊田通商,8015,東P,"6,811",+48,+0.71%,"14,926",18.0倍,2.28倍,1.84%
20260522,69,ＰｏｗｅｒＸ,485A,東G,"13,350",-300,-2.20%,"14,895",407倍,73.6倍,ー%
20260522,70,三井住友トラ,8309,東P,"5,703",+60,+1.06%,"14,854",10.5倍,1.12倍,3.33%
20260522,71,ｉＦ日経年１,1320,東Ｅ,"64,260","+1,810",+2.90%,"14,703",ー倍,ー倍,ー%
20260522,72,ＡＩメカ,6227,東S,"6,060",-540,-8.18%,"14,480",37.0倍,8.41倍,0.28%
20260522,73,東応化,4186,東P,"10,570",+626,+6.30%,"14,086",36.2倍,5.39倍,0.76%
20260522,74,大成建,1801,東P,"13,540",-115,-0.84%,"13,977",14.6倍,2.33倍,2.81%
20260522,75,住友商,8053,東P,"7,120",+109,+1.55%,"13,902",13.5倍,1.84倍,2.25%
20260522,76,野村総研,4307,東P,"4,681",-54,-1.14%,"13,741",22.6倍,6.20倍,1.79%
20260522,77,キヤノン,7751,東P,"4,130",-41,-0.98%,"13,596",10.7倍,1.04倍,3.87%
