No,コード,銘柄名,市場,株価,前日比,前日比(%),出来高(株),PER(倍),PBR(倍),利回り(%),売買金額
1,8918,ランド,東S,10,+1,+11.11,253144100,11.4,1.68,ー,2531441000
2,4564,オンコセラピ,東G,24,+1,+4.35,208934100,ー,4.45,ー,5014418400
3,9432,ＮＴＴ,東P,152.6,-0.5,-0.33,150991800,12.9,1.31,3.47,23041348680
4,9434,ＳＢ,東P,219.5,+8.3,+3.93,130099600,19.7,4.33,3.92,28556862200
5,1360,日経ベア２,東Ｅ,103.3,+1.4,+1.37,89993760,ー,ー,ー,9296355408
6,8729,ソニーＦＧ,東P,143.0,-2.2,-1.52,75925700,19.2,1.44,2.66,10857375100
7,4597,ソレイジア,東G,33,-1,-2.94,75844900,ー,5.14,ー,2502881700
8,5803,フジクラ,東P,"5,698",+68,+1.21,67148400,62.9,18.6,0.63,382611583200
9,6740,Ｊディスプレ,東P,82,-1,-1.20,65724300,ー,-10,ー,5389392600
10,9501,東電ＨＤ,東P,651.3,-13.8,-2.07,62428400,ー,0.38,ー,40659616920
11,3103,ユニチカ,東S,"1,763",+300,+20.51,39395300,5.08,2.24,ー,69453913900
12,285A,キオクシア,東P,"31,270","+1,130",+3.75,34739200,35.3,17.4,ー,1086294784000
13,5016,ＪＸ金属,東P,"4,635",+58,+1.27,33130000,46.2,6.47,0.58,153557550000
14,8306,三菱ＵＦＪ,東P,"2,860.0",+18.0,+0.63,30503200,15.4,1.51,2.59,87239152000
15,9984,ＳＢＧ,東P,"3,764",-14,-0.37,29819900,ー,1.37,0.29,112242103600
16,7211,三菱自,東P,305.0,-13.6,-4.27,20710200,40.8,0.46,3.28,6316611000
17,5856,ＬＩＥＨ,東S,35,+1,+2.94,18857600,ー,1.53,ー,660016000
18,7201,日産自,東P,346.8,-9.0,-2.53,18632400,ー,0.25,ー,6461716320
19,1579,日経ブル２,東Ｅ,572.7,-7.7,-1.33,17436420,ー,ー,ー,9985837734
20,7013,ＩＨＩ,東P,"3,281.0",-22.0,-0.67,17170500,27.8,6.17,0.61,56336410500
21,3436,ＳＵＭＣＯ,東P,"2,154.0",+120.5,+5.93,16413400,ー,1.30,ー,35354463600
22,7011,三菱重,東P,"4,761",+16,+0.34,16322800,61.5,6.03,0.50,77712850800
23,6758,ソニーＧ,東P,"3,251.0",-74.0,-2.23,16239400,17.0,2.35,0.77,52794289400
24,8136,サンリオ,東P,981.7,+14.8,+1.53,15570400,22.9,8.64,1.34,15285461680
25,5401,日本製鉄,東P,595.8,-4.4,-0.73,15154700,ー,0.59,4.03,9029170260
26,6506,安川電,東P,"5,239",+345,+7.05,14998000,28.9,2.81,1.37,78574522000
27,7203,トヨタ,東P,"3,319.0",0,0.00,14353200,12.1,1.11,2.86,47638270800
28,1306,野村東証指数,東Ｅ,394.8,-1.7,-0.43,13770580,ー,ー,ー,5436624984
29,1459,楽天Ｗベア,東Ｅ,170,+2,+1.19,13697550,ー,ー,ー,2328583500
30,5802,住友電,東P,"9,926",-654,-6.18,13599200,24.2,3.11,1.19,134985659200
31,7267,ホンダ,東P,"1,254.0",-15.5,-1.22,13321900,ー,0.39,5.58,16705662600
32,3350,メタプラ,東S,309,-9,-2.83,13248100,ー,0.86,ー,4093662900
33,3315,日本コークス,東P,103,+4,+4.04,12579100,ー,0.81,ー,1295647300
34,6501,日立,東P,"4,848",+38,+0.79,12164800,28.7,3.43,ー,58974950400
35,8001,伊藤忠,東P,"2,003.5",-22.5,-1.11,11787700,15.6,2.22,2.10,23616656950
36,4324,電通グループ,東P,"3,155.0",+289.5,+10.10,11313100,11.8,2.18,ー,35692830500
37,7012,川重,東P,"3,345.0",-36.0,-1.06,11101700,31.1,3.46,0.99,37135186500
38,3664,ＷＩＺＥ,東G,38,-2,-5.00,10981800,ー,2.42,ー,417308400
39,4005,住友化,東P,522.8,-7.8,-1.47,10827800,15.7,0.84,2.58,5660773839
40,4689,ラインヤフー,東P,403.8,+0.2,+0.05,10751300,ー,0.93,1.81,4341374940
41,7453,良品計画,東P,"3,804",+54,+1.44,10710800,32.6,5.36,0.84,40743883200
42,6723,ルネサス,東P,"2,531.0",-125.5,-4.72,10348800,ー,1.88,ー,26192812800
43,6613,ＱＤレーザ,東G,"1,221",+135,+12.43,10198100,ー,10.2,ー,12451880100
44,5801,古河電,東P,"45,310",-490,-1.07,10187600,59.0,8.44,0.35,461600156000
45,186A,アストロＨＤ,東G,"1,332",-10,-0.75,10149600,ー,17.4,ー,13519267200
46,1605,ＩＮＰＥＸ,東P,"4,277",+130,+3.13,9931200,15.1,1.05,2.53,42475742400
47,6762,ＴＤＫ,東P,"2,266.0",-44.0,-1.90,9500600,22.6,2.05,1.50,21528359600
48,6323,ローツェ,東P,"4,058",+89,+2.24,9459700,25.3,5.40,0.49,38387462600
49,8316,三井住友ＦＧ,東P,"5,577",+41,+0.74,9107100,14.2,1.36,2.82,50790296700
50,4755,楽天グループ,東P,763.9,-9.3,-1.20,9064100,ー,1.67,ー,6924065990
51,8058,三菱商,東P,"5,275",-32,-0.60,9023000,27.6,2.12,2.09,47596325000
52,7974,任天堂,東P,"8,297",-3,-0.04,9001400,27.3,3.21,2.18,74684615800
53,9433,ＫＤＤＩ,東P,"2,620.0",+38.0,+1.47,8929100,14.3,2.02,3.05,23394242000
54,7269,スズキ,東P,"1,817.0",-9.0,-0.49,8925800,8.99,1.06,2.53,16218178600
55,8267,イオン,東P,"1,724.0",-39.0,-2.21,8746900,65.3,3.91,0.87,15079655600
56,6366,千代建,東S,"1,132",-33,-2.83,8580200,3.67,-5.4,ー,9712786400
57,543A,ＡＲＣＨＩＯ,東P,428,+30,+7.54,8558600,14.7,5.13,ー,3663080800
58,7532,パンパシＨＤ,東P,954.1,+15.6,+1.66,8301900,26.7,4.35,0.89,7920842790
59,4063,信越化,東P,"6,662",+106,+1.62,8241400,26.3,2.86,1.59,54904206800
60,8604,野村,東P,"1,300.5",-4.5,-0.34,8041800,ー,1.03,ー,10458360900
61,8801,三井不,東P,"1,727.5",-2.5,-0.14,8041700,17.4,1.47,1.97,13892036750
62,6701,ＮＥＣ,東P,"3,882",+22,+0.57,7574000,ー,2.49,0.82,29402268000
63,2146,ＵＴ,東P,190,-3,-1.55,7565000,17.7,4.27,5.71,1437350000
64,6981,村田製,東P,"4,170",+24,+0.58,7510600,34.5,2.90,1.44,31319202000
65,6525,コクサイエレ,東P,"6,847",-12,-0.17,7410800,57.3,7.51,0.53,50741747600
66,3697,ＳＨＩＦＴ,東P,628.0,0,0.00,7284600,ー,3.79,ー,4574728800
67,9107,川崎汽,東P,"2,602.5",-58.5,-2.20,6950900,14.3,0.95,4.61,18089717250
68,5332,ＴＯＴＯ,東P,"5,322",-410,-7.15,6886600,30.2,1.74,1.88,36650485200
69,5020,ＥＮＥＯＳ,東P,"1,427.5",+2.0,+0.14,6821700,28.4,1.20,2.38,9737976750
70,8411,みずほＦＧ,東P,"6,735",-51,-0.75,6715800,14.5,1.47,2.15,45230913000
71,3382,セブン＆アイ,東P,"2,000.0",-27.0,-1.33,6572900,17.1,1.28,3.00,13145800000
72,6954,ファナック,東P,"6,182",-67,-1.07,6561000,36.5,3.21,ー,40560102000
73,6857,アドテスト,東P,"24,880",-110,-0.44,6508500,55.0,26.8,ー,161931480000
74,6702,富士通,東P,"3,339.0",+15.0,+0.45,6390800,13.6,2.90,1.50,21338881200
75,1357,日経Ｄインバ,東Ｅ,"4,207",+59,+1.42,6388979,ー,ー,ー,26878434653
76,4506,住友ファーマ,東P,"1,971.0",-69.0,-3.38,6381600,7.68,2.71,ー,12578133600
77,4062,イビデン,東P,"9,386",-502,-5.08,6341000,70.8,4.83,0.27,59516626000
78,4568,第一三共,東P,"2,731.5",-41.0,-1.48,6100000,17.3,2.91,2.86,16662150000
79,402A,アクセルＨＤ,東G,683,+13,+1.94,5996600,ー,5.19,ー,4095677800
80,6752,パナＨＤ,東P,"2,879.5",+18.5,+0.65,5818900,28.0,1.34,1.39,16755522550
81,7733,オリンパス,東P,"1,535.0",-33.5,-2.14,5815800,31.0,2.19,1.95,8927253000
82,8750,第一ライフ,東P,"1,474.5",-7.5,-0.51,5783700,13.0,1.30,3.53,8528065650
83,8410,セブン銀,東P,267.5,-3.2,-1.18,5778600,28.4,1.14,4.11,1545775500
84,1356,ＴＰＸベア２,東Ｅ,132.6,+1.2,+0.91,5760210,ー,ー,ー,763803846
85,4188,三菱ケミＧ,東P,976.8,-7.3,-0.74,5745100,28.2,0.72,3.28,5611813680
86,2181,パーソルＨＤ,東P,235.7,-3.2,-1.34,5653100,12.8,2.53,4.67,1332435670
87,2502,アサヒ,東P,"1,615.5",+15.0,+0.94,5623200,14.1,0.84,3.22,9084279600
88,6902,デンソー,東P,"1,917.0",-16.0,-0.83,5465000,12.3,0.98,3.34,10476405000
89,7261,マツダ,東P,"1,041.0",-13.5,-1.28,5287500,32.8,0.36,5.28,5504287500
90,8113,ユニチャーム,東P,950.3,-2.3,-0.24,5172400,18.9,2.06,2.32,4915331720
91,6993,大黒屋,東S,124,+1,+0.81,5124300,ー,16.3,ー,635413200
92,3407,旭化成,東P,"1,611.0",-24.5,-1.50,5012700,15.1,1.09,2.48,8075459700
93,4443,Ｓａｎｓａｎ,東P,"1,195",-44,-3.55,4972900,ー,8.39,ー,5942615500
94,5341,アサヒエイト,東S,297,-6,-1.98,4938700,ー,2.07,ー,1466793900
95,3778,さくらネット,東P,"3,260",+210,+6.89,4860000,"1,003",4.44,0.15,15843600000
96,5938,ＬＩＸＩＬ,東P,"1,606.5",-61.5,-3.69,4855500,57.7,0.69,5.60,7800360750
97,8766,東京海上,東P,"7,000",-95,-1.34,4832700,12.9,2.47,3.01,33828900000
98,8031,三井物,東P,"6,233",-59,-0.94,4826600,21.5,2.10,1.85,30084197800
99,3070,ジェリビンズ,東G,107,+8,+8.08,4802700,51.7,1.79,ー,513888900
100,3391,ツルハＨＤ,東P,"2,132.0",-45.5,-2.09,4710200,23.3,1.10,2.25,10042146400
101,6098,リクルート,東P,"6,996",-121,-1.70,4658000,20.3,6.25,0.36,32587368000
102,6619,ＷＳＣＯＰＥ,東P,244,+8,+3.39,4488700,ー,0.36,ー,1095242800
103,3402,東レ,東P,"1,150.5",-25.0,-2.13,4466300,20.4,0.95,1.74,5138478150
104,8308,りそなＨＤ,東P,"1,881.5",-7.0,-0.37,4377100,17.0,1.55,1.54,8235513650
105,5108,ブリヂストン,東P,"3,382.0",-58.0,-1.69,4342900,12.6,1.17,3.70,14687687800
106,3861,王子ＨＤ,東P,852.8,+3.8,+0.45,4305100,15.0,0.71,4.22,3671389280
107,4502,武田,東P,"5,636",-96,-1.67,4180100,57.8,1.16,3.55,23559043600
108,9201,ＪＡＬ,東P,"2,528.0",-60.5,-2.34,4151900,8.83,0.89,3.80,10496003200
109,6503,三菱電,東P,"5,814",+1,+0.02,4120200,33.1,2.86,0.95,23954842800
110,9104,商船三井,東P,"6,387",-86,-1.33,4063300,11.0,0.81,3.13,25952297100
111,1475,ｉＳＴＰＸ,東Ｅ,385.2,-1.8,-0.47,4013750,ー,ー,ー,1546096500
112,5129,ＦＩＸＥＲ,東G,454,+3,+0.67,3959900,ー,2.68,ー,1797794600
113,7003,三井Ｅ＆Ｓ,東P,"5,798",-199,-3.32,3953900,18.9,2.86,0.86,22924712200
114,6920,レーザーテク,東P,"41,230",-350,-0.84,3913200,51.3,16.4,0.80,161341236000
115,4901,富士フイルム,東P,"3,118.0",+2.0,+0.06,3875700,14.2,1.01,2.25,12084432600
116,5202,板硝子,東P,480,+1,+0.21,3856300,"1,000",0.65,ー,1851024000
117,6301,コマツ,東P,"6,968",+159,+2.34,3853500,19.6,1.87,2.73,26851188000
118,1615,野村東証銀行,東Ｅ,624.5,-2.3,-0.37,3826660,ー,ー,ー,2389749170
119,7777,３ＤＭ,東G,498,+11,+2.26,3782300,61.0,13.3,ー,1883585400
120,3110,日東紡,東P,"28,960","+1,530",+5.58,3743000,27.8,6.39,0.39,108397280000
121,4503,アステラス,東P,"2,560.5",-46.5,-1.78,3741900,18.4,2.60,3.05,9581134950
122,549A,ヒトトヒトＨ,東S,596,+3,+0.51,3704400,13.9,2.82,ー,2207822400
123,281A,インフォメテ,東G,664,+37,+5.90,3634800,ー,6.07,ー,2413507200
124,9503,関西電,東P,"2,522.5",-71.0,-2.74,3550400,7.81,0.83,2.97,8955884000
125,7182,ゆうちょ銀,東P,"2,726.5",+16.0,+0.59,3546100,19.4,1.04,2.57,9668441650
126,7272,ヤマハ発,東P,"1,180.0",-1.5,-0.13,3543600,11.5,1.01,4.24,4181448000
127,314A,ｉＳゴールド,東Ｅ,357.9,-1.3,-0.36,3534460,ー,ー,ー,1264983234
128,1911,住友林,東P,"1,439.5",-21.5,-1.47,3522100,9.26,0.88,3.47,5070062950
129,9399,ビート,東S,28,0,0.00,3502607,ー,ー,ー,98072996
130,2802,味の素,東P,"4,607",-45,-0.97,3500300,34.0,5.94,1.04,16125882100
131,4307,野村総研,東P,"4,492",+74,+1.67,3492500,24.8,5.14,1.65,15688310000
132,4661,ＯＬＣ,東P,"2,601.0",-6.5,-0.25,3406300,37.6,3.96,0.54,8859786300
133,8303,ＳＢＩ新生銀,東P,"1,666.5",-27.0,-1.59,3364500,14.8,1.25,2.04,5606939250
134,4543,テルモ,東P,"2,134.0",-5.0,-0.23,3361300,23.2,2.07,1.41,7173014200
135,6971,京セラ,東P,"2,575.5",-1.5,-0.06,3287100,28.3,1.01,1.94,8465926050
136,1803,清水建,東P,"2,846.5",-46.5,-1.61,3264700,17.6,2.15,2.28,9292968550
137,6526,ソシオネクス,東P,"1,778.5",-22.5,-1.25,3260000,46.5,2.42,2.81,5797910000
138,8035,東エレク,東P,"42,460","-1,580",-3.59,3255000,35.1,9.74,1.42,138207300000
139,5713,住友鉱,東P,"9,867",-119,-1.19,3247400,19.1,1.40,1.85,32042095800
140,5721,Ｓクリプトエ,東S,96,-1,-1.03,3228500,ー,3.08,ー,309936000
141,4751,サイバー,東P,"1,282.0",-1.0,-0.08,3214600,23.6,3.56,1.48,4121117200
142,7375,リファバスＧ,東G,"1,644",+300,+22.32,3213200,18.4,18.1,ー,5282500800
143,8002,丸紅,東P,"5,932",-18,-0.30,3193900,18.0,2.35,1.81,18946214800
144,2134,北浜ＣＰ,東S,31,0,0.00,3171900,ー,3.02,ー,98328900
145,1662,石油資源,東P,"2,524",+137,+5.74,3066100,14.4,1.14,1.58,7738836400
146,2338,クオンタムＳ,東S,127,+2,+1.60,3057400,ー,8.83,ー,388289800
147,3064,モノタロウ,東P,"1,790.0",+2.0,+0.11,3050900,24.4,7.22,2.07,5461111000
148,6988,日東電,東P,"3,222.0",+29.0,+0.91,3049000,16.0,1.97,1.86,9823878000
149,6976,太陽誘電,東P,"5,073",+116,+2.34,3045500,48.8,1.87,1.77,15449821500
150,1570,日経レバ,東Ｅ,"53,100",-700,-1.30,3041129,ー,ー,ー,161483949900
151,4911,資生堂,東P,"3,285.0",-82.0,-2.44,3003200,31.3,2.18,1.83,9865512000
