No,コード,銘柄名,市場,株価,前日比,前日比(%),出来高(株),PER(倍),PBR(倍),利回り(%),売買金額
1,8918,ランド,東S,10,+1,+11.11,289232700,11.4,1.68,ー,2892327000
2,9432,ＮＴＴ,東P,153.5,-0.5,-0.32,139123500,13.0,1.31,3.45,21355457250
3,1360,日経ベア２,東Ｅ,95.1,-0.7,-0.73,129781060,ー,ー,ー,12342178806
4,6740,Ｊディスプレ,東P,120,+10,+9.09,117693100,ー,-15,ー,14123172000
5,4597,ソレイジア,東G,41,+3,+7.89,88766600,ー,6.39,ー,3639430600
6,9984,ＳＢＧ,東P,"4,774",+247,+5.46,60475300,ー,1.74,0.23,288709082200
7,4564,オンコセラピ,東G,31,+4,+14.81,58784400,ー,5.75,ー,1822316400
8,8729,ソニーＦＧ,東P,146.9,-2.8,-1.87,50206400,19.7,1.48,2.59,7375320160
9,5803,フジクラ,東P,"5,529",-233,-4.04,49029200,61.0,18.1,0.65,271082446800
10,9434,ＳＢ,東P,223.0,-1.3,-0.58,47417600,20.0,4.40,3.86,10574124800
11,9501,東電ＨＤ,東P,611.5,-12.5,-2.00,41382600,ー,0.36,ー,25305459900
12,3823,ＷＨＤＣ,東S,56,+1,+1.82,36200500,ー,5.35,ー,2027228000
13,285A,キオクシア,東P,"30,510",-20,-0.07,34333100,34.4,17.0,ー,1047502881000
14,7201,日産自,東P,379.4,+14.4,+3.95,28990800,ー,0.27,ー,10999109520
15,8306,三菱ＵＦＪ,東P,"2,870.5",+0.5,+0.02,24113800,15.4,1.52,2.58,69218662900
16,5016,ＪＸ金属,東P,"4,817",-82,-1.67,23866900,48.0,6.72,0.56,114966857300
17,7267,ホンダ,東P,"1,341.0",+40.5,+3.11,23093600,ー,0.42,5.22,30968517600
18,7011,三菱重,東P,"4,506",+135,+3.09,22506500,58.2,5.71,0.53,101414289000
19,5401,日本製鉄,東P,599.8,+4.8,+0.81,19779100,ー,0.59,4.00,11863504180
20,3936,ＧＷ,東G,199,+50,+33.56,18379100,134,9.62,ー,3657440900
21,6723,ルネサス,東P,"2,972.5",+177.5,+6.35,17624900,ー,2.21,ー,52390015250
22,4506,住友ファーマ,東P,"2,073.0",-131.0,-5.94,16675600,8.07,2.85,ー,34568518800
23,3350,メタプラ,東S,333,-12,-3.48,15383700,ー,0.93,ー,5122772100
24,7203,トヨタ,東P,"3,390.0",+47.0,+1.41,14589600,12.4,1.13,2.80,49458744000
25,3103,ユニチカ,東S,"3,745",+660,+21.39,14402100,10.8,4.75,ー,53935864500
26,6762,ＴＤＫ,東P,"2,542.0",-74.0,-2.83,14363800,25.4,2.30,1.34,36512779600
27,7211,三菱自,東P,335.5,+5.6,+1.70,13335600,44.9,0.50,2.98,4474093800
28,7013,ＩＨＩ,東P,"3,153.0",+33.0,+1.06,12843400,26.7,5.93,0.63,40495240200
29,1579,日経ブル２,東Ｅ,619.3,+3.1,+0.50,12824770,ー,ー,ー,7942380060
30,8136,サンリオ,東P,"1,045.5",+13.0,+1.26,12644600,24.4,9.21,1.26,13219929300
31,3070,ジェリビンズ,東G,121,+12,+11.01,12328400,58.5,2.02,ー,1491736400
32,186A,アストロＨＤ,東G,"1,454",+109,+8.10,12110300,ー,18.9,ー,17608376200
33,4689,ラインヤフー,東P,429.0,+1.1,+0.26,11956400,ー,0.99,1.70,5129295600
34,6629,Ｔホライゾン,東S,"1,207",+137,+12.80,11692800,14.8,1.60,1.66,14113209600
35,6758,ソニーＧ,東P,"3,384.0",-11.0,-0.32,11565400,17.7,2.45,0.74,39137313600
36,3697,ＳＨＩＦＴ,東P,722.4,-27.6,-3.68,11056300,ー,4.83,ー,7987071120
37,4755,楽天グループ,東P,819.3,-15.3,-1.83,10925600,ー,1.79,ー,8951344080
38,8001,伊藤忠,東P,"1,975.5",+5.5,+0.28,10722900,15.3,2.19,2.13,21183088950
39,7012,川重,東P,"3,130.0",+60.0,+1.95,10278100,29.1,3.24,1.06,32170453000
40,6613,ＱＤレーザ,東G,"1,585",+300,+23.35,10246600,ー,13.3,ー,16240861000
41,6981,村田製,東P,"4,738",+138,+3.00,10084000,39.2,3.30,1.27,47777992000
42,8308,りそなＨＤ,東P,"1,953.5",-12.5,-0.64,10064200,17.6,1.61,1.48,19660414700
43,1605,ＩＮＰＥＸ,東P,"3,843",-142,-3.56,9948100,13.5,0.94,2.81,38230548300
44,3436,ＳＵＭＣＯ,東P,"2,110.0",+15.0,+0.72,9888300,ー,1.28,ー,20864313000
45,4063,信越化,東P,"6,773",-134,-1.94,9389000,26.7,2.91,1.57,63591697000
46,6501,日立,東P,"5,153",-4,-0.08,8848200,30.5,3.65,ー,45594774600
47,1306,野村東証指数,東Ｅ,400.6,+1.5,+0.38,8808500,ー,ー,ー,3528685100
48,8801,三井不,東P,"1,753.0",+22.0,+1.27,8780400,17.6,1.49,1.94,15392041200
49,6752,パナＨＤ,東P,"2,982.5",+85.5,+2.95,8048600,29.0,1.39,1.34,24004949500
50,8058,三菱商,東P,"4,910",-42,-0.85,8032000,25.7,1.97,2.24,39437120000
51,3656,ＫＬａｂ,東P,330,-11,-3.23,7846800,ー,2.52,ー,2589444000
52,4005,住友化,東P,521.4,-7.7,-1.46,7791900,15.7,0.84,2.59,4062696660
53,6857,アドテスト,東P,"27,100",-770,-2.76,7633600,59.9,29.2,ー,206870560000
54,1459,楽天Ｗベア,東Ｅ,156,-1,-0.64,7630035,ー,ー,ー,1190285460
55,8316,三井住友ＦＧ,東P,"5,575",-23,-0.41,7598100,14.2,1.36,2.82,42359407500
56,1357,日経Ｄインバ,東Ｅ,"3,867",-22,-0.57,7576390,ー,ー,ー,29297900130
57,6594,ニデック,東P,"2,408",+140,+6.17,7447800,ー,1.57,ー,17934302400
58,4568,第一三共,東P,"3,000.0",+61.0,+2.08,7280300,19.0,3.19,2.60,21840900000
59,8766,東京海上,東P,"7,175",+242,+3.49,7277100,13.6,2.59,2.94,52213192500
60,5020,ＥＮＥＯＳ,東P,"1,337.5",-37.5,-2.73,7077200,26.7,1.13,2.54,9465755000
61,7777,３ＤＭ,東G,587,+42,+7.71,6956700,71.9,15.6,ー,4083582900
62,6366,千代建,東S,"1,111",-44,-3.81,6931500,3.60,-5.3,ー,7700896500
63,6902,デンソー,東P,"1,962.5",+36.5,+1.90,6926600,12.6,1.00,3.26,13593452500
64,8604,野村,東P,"1,341.0",+7.0,+0.52,6905300,ー,1.06,ー,9260007300
65,3664,ＷＩＺＥ,東G,38,-2,-5.00,6739700,ー,2.42,ー,256108600
66,6140,旭ダイヤ,東P,"1,312",-20,-1.50,6632400,32.6,1.04,2.29,8701708800
67,9433,ＫＤＤＩ,東P,"2,626.5",+36.0,+1.39,6559900,14.3,2.03,3.05,17229577350
68,8411,みずほＦＧ,東P,"6,775",+7,+0.10,6356700,14.6,1.48,2.14,43066642500
69,4188,三菱ケミＧ,東P,962.1,-26.8,-2.71,6322400,27.8,0.71,3.33,6082781040
70,6702,富士通,東P,"3,753",-17,-0.45,6249400,15.3,3.26,1.33,23453998200
71,7182,ゆうちょ銀,東P,"2,710.0",-21.5,-0.79,6160000,19.3,1.03,2.58,16693600000
