No,コード,銘柄名,市場,株価,前日比,前日比(%),出来高(株),PER(倍),PBR(倍),利回り(%),売買金額
162,6113,アマダ,東P,"2,813.0",-151.0,-5.09,4252300,25.7,1.63,2.28,11961719900
163,8601,大和,東P,"1,482.5",+4.5,+0.30,4189800,ー,1.16,ー,6211378500
164,5074,テスＨＤ,東P,797,-231,-22.47,4174500,46.8,1.14,0.73,3327076500
165,3289,東急不ＨＤ,東P,"1,314.0",-30.0,-2.23,4134900,9.37,1.04,3.81,5433258600
166,8410,セブン銀,東P,272.1,+1.1,+0.41,4098900,18.7,1.13,4.04,1115310690
167,290A,Ｓｙｎｓ,東G,"1,450",-82,-5.35,4098200,72.9,5.32,ー,5942390000
168,5713,住友鉱,東P,"10,275",-290,-2.74,4067900,20.0,1.34,2.01,41797672500
169,8830,住友不,東P,"4,232",-186,-4.21,4057900,17.5,1.58,1.23,17173032800
170,9503,関西電,東P,"2,333.5",-12.0,-0.51,4040100,8.39,0.75,3.43,9427573350
171,8725,ＭＳ＆ＡＤ,東P,"4,391",-8,-0.18,3998500,8.17,1.38,3.53,17557413500
172,8697,日本取引所,東P,"1,767.5",-37.5,-2.08,3996900,23.4,5.27,3.45,7064520750
173,9973,ＫＯＺＯＨＤ,東S,22,-1,-4.35,3946300,122,11.7,ー,86818600
174,7832,バンナムＨＤ,東P,"3,709",-95,-2.50,3937100,18.3,2.76,ー,14602703900
175,268A,リガクＨＤ,東P,"2,856",+90,+3.25,3917800,51.7,7.40,0.67,11189236800
176,6952,カシオ,東P,"1,694.0",+3.5,+0.21,3911200,20.6,1.62,ー,6625572800
177,1802,大林組,東P,"3,558.0",0,0.00,3907900,15.6,1.94,2.64,13904308200
178,9509,北海電,東P,980.9,-18.0,-1.80,3905400,9.78,0.49,3.36,3830806860
179,9602,東宝,東P,"1,317.0",+16.0,+1.23,3873100,26.7,2.13,1.67,5100872700
180,9697,カプコン,東P,"3,065.0",+16.0,+0.52,3872800,22.1,4.80,1.50,11870132000
181,8309,三井住友トラ,東P,"5,623",-13,-0.23,3861900,10.3,1.10,3.38,21715463700
182,1570,日経レバ,東Ｅ,"62,240","-2,530",-3.91,3845451,ー,ー,ー,239340870240
183,3825,リミックス,東S,208,-3,-1.42,3832300,ー,1.27,ー,797118400
184,7259,アイシン,東P,"2,480.5",+73.0,+3.03,3820100,12.0,0.82,3.02,9475758050
185,7202,いすゞ,東P,"2,298.5",-79.0,-3.32,3787300,9.87,1.07,4.09,8705109050
186,8088,岩谷産,東P,"2,113.0",+217.5,+11.47,3783300,10.7,1.11,2.22,7994112900
187,9684,スクエニＨＤ,東P,"2,654.0",+178.0,+7.19,3751300,30.9,2.75,1.62,9955950200
188,6232,ＡＣＳＬ,東G,"3,115",+184,+6.28,3731300,ー,21.5,ー,11622999500
189,2914,ＪＴ,東P,"6,301",+47,+0.75,3712200,19.6,2.74,3.84,23390572200
190,7162,アストマクス,東S,330,+31,+10.37,3698100,ー,0.57,ー,1220373000
191,2931,ユーグレナ,東P,377,-20,-5.04,3607900,ー,1.60,ー,1360178300
192,1332,ニッスイ,東P,"1,315.5",0,0.00,3603400,13.8,1.33,2.43,4740272700
193,1911,住友林,東P,"1,295.5",-1.0,-0.08,3594700,8.36,0.76,3.86,4656933850
194,4183,三井化学,東P,"2,149.5",-18.0,-0.83,3575800,17.3,0.90,3.49,7686182100
