コード,銘柄名,市場,株価,前日比,前日比(%),売買代金,PER,PBR,利回り
キオクシア,,,285A,東Ｐ,,,"49,770",,"-1,680"
フジクラ,,,5803,東Ｐ,,,"4,695",,-958
ＳＢＧ,,,9984,東Ｐ,,,"5,361",,-232
古河電,,,5801,東Ｐ,,,"50,250",,"-4,590"
アドテスト,,,6857,東Ｐ,,,"25,290",,-860
三菱ＵＦＪ,,,8306,東Ｐ,,,"3,108.0",,+113.0
日経レバ,,,1570,東Ｅ,,,"60,530",,-440
リクルート,,,6098,東Ｐ,,,"9,846",,+724
ＪＸ金属,,,5016,東Ｐ,,,"3,850",,-200
東エレク,,,8035,東Ｐ,,,"47,160",,"-2,100"
三井住友ＦＧ,,,8316,東Ｐ,,,"5,942",,+210
任天堂,,,7974,東Ｐ,,,"7,519",,+337
