No,コード,銘柄名,市場,株価,前日比,前日比(%),出来高(株),PER(倍),PBR(倍),利回り(%),売買金額
1,8918,ランド,東S,9,0,0.00,270099600,36.0,1.60,ー,2430896400
2,4564,オンコセラピ,東G,27,+2,+8.00,183231700,ー,5.01,ー,4947255900
3,9432,ＮＴＴ,東P,155.4,-1.7,-1.08,172025500,13.1,1.33,3.41,26732762700
4,1360,日経ベア２,東Ｅ,116.4,-0.2,-0.17,88176890,ー,ー,ー,10263789996
5,9434,ＳＢ,東P,214.7,-2.4,-1.11,72716300,19.2,4.23,4.01,15612189610
6,8729,ソニーＦＧ,東P,143.4,-0.8,-0.55,71734700,19.3,1.45,2.65,10286755980
7,4597,ソレイジア,東G,34,0,0.00,58294800,ー,5.30,ー,1982023200
8,9501,東電ＨＤ,東P,624.1,-12.2,-1.92,50092600,ー,0.36,ー,31262791660
9,5803,フジクラ,東P,"4,370",-230,-5.00,47494600,48.2,14.3,0.82,207551402000
10,6740,Ｊディスプレ,東P,82,-2,-2.38,46067600,ー,-10,ー,3777543200
11,285A,キオクシア,東P,"23,270",+470,+2.06,38777800,26.3,13.0,ー,902359406000
12,9984,ＳＢＧ,東P,"3,565.0",-83.0,-2.28,33623300,ー,1.30,0.31,119867064500
13,8136,サンリオ,東P,988.7,+39.5,+4.16,31239200,23.1,8.71,1.34,30886197040
14,8306,三菱ＵＦＪ,東P,"2,811.0",+19.0,+0.68,25886900,15.1,1.49,2.63,72768075900
15,3681,ブイキューブ,東P,75,+8,+11.94,23195000,ー,-1.2,ー,1739625000
16,7269,スズキ,東P,"1,744.0",-59.0,-3.27,23078600,8.63,1.02,2.64,40249078400
17,5016,ＪＸ金属,東P,"3,727.0",+38.0,+1.03,22975200,37.1,5.20,0.72,85628570400
18,5721,Ｓクリプトエ,東S,118,+30,+34.09,21699500,ー,3.79,ー,2560541000
19,3350,メタプラ,東S,297,-5,-1.66,21425200,ー,0.83,ー,6363284400
20,3778,さくらネット,東P,"3,320",-150,-4.32,21051000,"1,022",4.53,0.15,69889320000
21,543A,ＡＲＣＨＩＯ,東P,441,-34,-7.16,19651600,15.2,5.29,ー,8666355600
22,7201,日産自,東P,349.4,-2.9,-0.82,18730900,ー,0.25,ー,6544576460
23,7011,三菱重,東P,"4,784",+49,+1.03,18352100,61.8,6.06,0.50,87796446400
24,7267,ホンダ,東P,"1,252.0",-10.0,-0.79,18059000,ー,0.39,5.59,22609868000
25,1579,日経ブル２,東Ｅ,514.6,+1.0,+0.19,17318510,ー,ー,ー,8912105246
26,7013,ＩＨＩ,東P,"3,341.0",+40.0,+1.21,14382000,28.3,6.28,0.60,48050262000
27,7203,トヨタ,東P,"3,252.0",+5.0,+0.15,14215500,11.9,1.09,2.92,46228806000
28,5401,日本製鉄,東P,586.0,-0.7,-0.12,13411900,ー,0.58,4.10,7859373400
29,3315,日本コークス,東P,118,-1,-0.84,13400200,ー,0.93,ー,1581223600
30,4689,ラインヤフー,東P,401.2,+9.5,+2.43,13399600,ー,0.93,1.82,5375919520
31,7211,三菱自,東P,305.7,-3.3,-1.07,13011500,40.9,0.46,3.27,3977615550
32,4005,住友化,東P,533.7,+0.5,+0.09,11623200,16.0,0.86,2.53,6203301840
33,1306,野村東証指数,東Ｅ,387.8,+1.0,+0.26,10961600,ー,ー,ー,4250908480
34,4755,楽天グループ,東P,761.8,+2.0,+0.26,10561800,ー,1.67,ー,8045979239
35,7532,パンパシＨＤ,東P,977.8,-14.3,-1.44,10175600,27.3,4.45,0.87,9949701680
36,6758,ソニーＧ,東P,"3,311.0",+19.0,+0.58,10038900,17.3,2.39,0.76,33238797900
37,1605,ＩＮＰＥＸ,東P,"4,480",-32,-0.71,9903500,15.8,1.10,2.41,44367680000
38,7012,川重,東P,"3,150.0",+70.0,+2.27,9749900,29.3,3.26,1.05,30712185000
39,3664,ＷＩＺＥ,東G,32,+1,+3.23,9280300,ー,2.04,ー,296969600
40,8001,伊藤忠,東P,"2,044.5",+25.0,+1.24,8897700,15.9,2.26,2.05,18191347650
41,1459,楽天Ｗベア,東Ｅ,191,0,0.00,8869535,ー,ー,ー,1694081185
42,5801,古河電,東P,"36,510",-790,-2.12,8801300,47.6,6.80,0.44,321335463000
43,8316,三井住友ＦＧ,東P,"5,418",+39,+0.73,8755300,13.8,1.32,2.90,47436215400
44,8604,野村,東P,"1,275.5",+12.0,+0.95,8709700,ー,1.01,ー,11109222350
45,7527,システムソフ,東S,53,0,0.00,8446300,204,1.13,ー,447653900
46,6752,パナＨＤ,東P,"2,835.5",+55.0,+1.98,8029600,27.6,1.32,1.41,22767930800
47,6330,東洋エンジ,東P,"2,207",+9,+0.41,7965400,ー,2.31,ー,17579637800
48,9433,ＫＤＤＩ,東P,"2,702.5",-61.0,-2.21,7804600,14.7,2.09,2.96,21091931500
49,5020,ＥＮＥＯＳ,東P,"1,471.5",+11.5,+0.79,7753800,29.3,1.24,2.31,11409716700
50,5802,住友電,東P,"9,191",-351,-3.68,7474800,22.4,2.88,1.28,68700886800
51,7375,リファバスＧ,東G,"1,933",+104,+5.69,7407200,21.6,21.3,ー,14318117600
52,6762,ＴＤＫ,東P,"2,076.5",+56.0,+2.77,7377100,20.7,1.88,1.64,15318548150
53,8750,第一ライフ,東P,"1,474.0",+23.5,+1.62,7254000,13.0,1.30,3.53,10692396000
54,1357,日経Ｄインバ,東Ｅ,"4,739",-11,-0.23,7221465,ー,ー,ー,34222522635
55,8801,三井不,東P,"1,672.0",+22.0,+1.33,7103600,16.8,1.42,2.03,11877219200
56,6501,日立,東P,"4,764",+45,+0.95,7102400,28.2,3.37,ー,33835833600
57,6702,富士通,東P,"3,345.0",+90.0,+2.76,7046800,13.7,2.90,1.49,23571546000
58,6857,アドテスト,東P,"22,200",+270,+1.23,6973500,49.0,23.9,ー,154811700000
59,8058,三菱商,東P,"5,425",+20,+0.37,6565800,28.4,2.18,2.03,35619465000
60,1475,ｉＳＴＰＸ,東Ｅ,378.7,+1.0,+0.26,6497680,ー,ー,ー,2460671416
61,9107,川崎汽,東P,"2,750.0",+16.5,+0.60,6414300,15.1,1.00,4.36,17639325000
62,7974,任天堂,東P,"8,844",-5,-0.06,6328100,29.1,3.43,2.05,55965716400
63,3697,ＳＨＩＦＴ,東P,695.1,+28.5,+4.28,6307500,ー,4.19,ー,4384343250
64,186A,アストロＨＤ,東G,"1,088",+11,+1.02,6173800,ー,14.2,ー,6717094400
65,6723,ルネサス,東P,"2,312.5",+23.0,+1.00,6105000,ー,1.72,ー,14117812500
66,281A,インフォメテ,東G,535,-60,-10.08,6037000,ー,4.89,ー,3229795000
67,7261,マツダ,東P,"1,029.0",+2.0,+0.19,5998800,32.5,0.36,5.34,6172765200
68,4062,イビデン,東P,"8,718",+164,+1.92,5997800,65.8,4.49,0.29,52288820400
69,549A,ヒトトヒＨＤ,東S,441,ー,ー,5849500,10.3,2.08,ー,2579629500
