No,コード,銘柄名,市場,株価,前日比,前日比(%),出来高(株),PER(倍),PBR(倍),利回り(%),売買金額
1,8918,ランド,東S,10,0,0.00,219234400,11.4,1.68,ー,2192344000
2,9432,ＮＴＴ,東P,150.0,+0.6,+0.40,198913700,12.5,1.26,3.60,29837055000
3,4564,オンコセラピ,東G,21,0,0.00,164903900,ー,3.89,ー,3462981900
4,1360,日経ベア２,東Ｅ,81.0,-1.6,-1.94,99140610,ー,ー,ー,8030389410
5,9434,ＳＢ,東P,222.8,+3.5,+1.60,92545500,19.3,4.04,3.95,20619137400
6,4597,ソレイジア,東G,29,-1,-3.33,83336300,ー,4.52,ー,2416752700
7,5803,フジクラ,東P,"7,855",+231,+3.03,62691200,86.7,25.7,0.46,492439376000
8,6740,Ｊディスプレ,東P,71,-4,-5.33,59422600,ー,-9.0,ー,4219004600
9,5016,ＪＸ金属,東P,"4,651",-111,-2.33,54451100,37.8,5.93,0.43,253252066100
10,6758,ソニーＧ,東P,"3,660.0",+176.0,+5.05,52422900,18.6,2.66,0.96,191867814000
11,8729,ソニーＦＧ,東P,141.3,+2.1,+1.51,52401300,19.0,1.43,2.69,7404303690
12,9984,ＳＢＧ,東P,"6,012",+25,+0.42,46400500,ー,1.94,0.18,278959806000
13,9501,東電ＨＤ,東P,612.6,-32.6,-5.05,44350100,ー,0.41,ー,27168871260
14,8306,三菱ＵＦＪ,東P,"2,926.5",+40.5,+1.40,34802100,15.7,1.55,2.53,101848345650
15,5401,日本製鉄,東P,559.4,0,0.00,34062700,13.3,0.53,4.29,19054674380
16,7011,三菱重,東P,"4,406",+106,+2.47,33182600,39.0,4.79,0.66,146202535600
17,7201,日産自,東P,364.4,+14.9,+4.26,30647500,63.7,0.27,ー,11167949000
18,6594,ニデック,東P,"2,435",-394,-13.93,30421500,ー,1.59,ー,74076352500
19,3350,メタプラ,東S,327,-13,-3.82,30156100,ー,1.04,ー,9861044700
20,285A,キオクシア,東P,"50,500","+4,400",+9.54,29747400,57.0,28.2,ー,1502243700000
21,7203,トヨタ,東P,"2,939.5",+96.5,+3.39,29534100,12.8,0.96,3.40,86815486950
22,4188,三菱ケミＧ,東P,"1,007.0",+78.7,+8.48,27241500,10.8,0.78,3.18,27432190500
23,3436,ＳＵＭＣＯ,東P,"3,505",-255,-6.78,26238200,ー,2.15,ー,91964891000
24,6472,ＮＴＮ,東P,479.4,+44.3,+10.18,23830300,25.9,1.03,2.29,11424245820
25,7012,川重,東P,"3,417.0",+26.0,+0.77,23042100,26.0,3.25,1.17,78734855700
26,7267,ホンダ,東P,"1,272.0",+16.5,+1.31,23030100,ー,0.40,5.50,29294287200
27,7013,ＩＨＩ,東P,"2,832.5",+26.5,+0.94,20584400,18.2,4.60,0.81,58305313000
28,6525,コクサイエレ,東P,"6,170",-908,-12.83,19061200,37.2,6.57,0.76,117607604000
29,4506,住友ファーマ,東P,"1,650.0",+40.5,+2.52,19041600,9.61,2.53,ー,31418640000
30,4689,ラインヤフー,東P,414.7,+4.6,+1.12,18616300,ー,0.95,2.65,7720179610
31,4005,住友化,東P,544.8,+21.4,+4.09,18509000,16.4,0.87,2.48,10083703200
32,7733,オリンパス,東P,"1,846.0",+305.5,+19.83,17900200,19.9,2.50,1.63,33043769200
33,7936,アシックス,東P,"4,600",-296,-6.05,17765800,29.6,10.3,0.83,81722680000
34,1306,野村東証指数,東Ｅ,415.7,+5.4,+1.32,17206170,ー,ー,ー,7152604869
35,8058,三菱商,東P,"5,864",+364,+6.62,16943100,19.5,2.27,2.13,99354338400
