No,コード,銘柄名,市場,株価,前日比,前日比(%),出来高(株),PER(倍),PBR(倍),利回り(%),売買金額
1,9432,ＮＴＴ,東P,159.0,+0.2,+0.13,275429900,13.4,1.36,3.33,43793354100
2,8918,ランド,東S,10,+1,+11.11,169917000,40.0,1.78,ー,1699170000
3,1360,日経ベア２,東Ｅ,120.2,+0.5,+0.42,126360020,ー,ー,ー,15188474404
4,9434,ＳＢ,東P,218.5,-0.6,-0.27,125462200,19.6,4.31,3.94,27413490700
5,8729,ソニーＦＧ,東P,149.4,+0.6,+0.40,68960000,20.1,1.51,2.54,10302624000
6,9984,ＳＢＧ,東P,"3,946",+124,+3.24,66029500,ー,1.44,0.28,260552407000
7,6740,Ｊディスプレ,東P,77,-4,-4.94,63505800,ー,-9.8,ー,4889946600
8,9501,東電ＨＤ,東P,635.2,+11.8,+1.89,58761400,ー,0.37,ー,37325241280
9,4564,オンコセラピ,東G,22,+1,+4.76,55271900,ー,4.08,ー,1215981800
10,3315,日本コークス,東P,128,+18,+16.36,49111600,ー,1.01,ー,6286284800
11,8306,三菱ＵＦＪ,東P,"2,715.0",+14.5,+0.54,44413200,14.6,1.43,2.73,120581838000
12,285A,キオクシア,東P,"20,270",-895,-4.23,37035800,22.9,11.3,ー,750715666000
13,5401,日本製鉄,東P,597.1,+1.1,+0.18,33798100,ー,0.59,4.02,20180845510
14,4597,ソレイジア,東G,33,0,0.00,31859500,ー,5.14,ー,1051363500
15,7267,ホンダ,東P,"1,340.0",+20.0,+1.52,31133700,ー,0.42,5.22,41719158000
16,7203,トヨタ,東P,"3,408.0",+20.0,+0.59,28198100,12.4,1.14,2.79,96099124800
17,5016,ＪＸ金属,東P,"3,677",-53,-1.42,27418800,36.6,5.13,0.73,100818927600
18,7201,日産自,東P,348.7,-3.3,-0.94,25484200,ー,0.25,ー,8886340540
19,4689,ラインヤフー,東P,385.2,-0.4,-0.10,24205100,ー,0.89,1.90,9323804520
20,6758,ソニーＧ,東P,"3,209.0",-9.0,-0.28,24050400,16.8,2.32,0.78,77177733600
21,7011,三菱重,東P,"4,577",+66,+1.46,22423400,59.2,5.80,0.52,102631901800
22,8001,伊藤忠,東P,"2,062.5",+0.5,+0.02,19414700,16.0,2.28,2.04,40042818750
23,1579,日経ブル２,東Ｅ,509.1,-1.3,-0.25,17239860,ー,ー,ー,8776812726
24,8316,三井住友ＦＧ,東P,"5,246",0,0.00,17031800,13.4,1.28,2.99,89348822800
25,5856,ＬＩＥＨ,東S,22,-3,-12.00,16450100,ー,0.96,ー,361902200
26,7733,オリンパス,東P,"1,530.0",+98.0,+6.84,16267000,30.9,2.18,1.96,24888510000
27,4594,ブライトパス,東G,78,+4,+5.41,15814400,ー,9.68,ー,1233523200
28,3350,メタプラ,東S,304,-5,-1.62,15612600,ー,0.77,ー,4746230400
29,8058,三菱商,東P,"5,762",+107,+1.89,15552800,30.1,2.32,1.91,89615233600
30,1605,ＩＮＰＥＸ,東P,"4,900",+213,+4.54,15318800,17.3,1.20,2.20,75062120000
31,6993,大黒屋,東S,135,-17,-11.18,15147800,ー,17.8,ー,2044953000
32,6072,地盤ＨＤ,東S,"1,159",+94,+8.83,15080600,149,18.4,ー,17478415400
33,4005,住友化,東P,523.7,+16.3,+3.21,14878700,15.7,0.84,2.58,7791975190
34,8604,野村,東P,"1,255.0",-2.5,-0.20,14564700,ー,1.01,ー,18278698500
35,6501,日立,東P,"4,716",-63,-1.32,13897900,28.0,3.35,ー,65542496400
36,4506,住友ファーマ,東P,"2,164.5",+133.5,+6.57,13749300,8.43,2.98,ー,29760359850
37,8801,三井不,東P,"1,701.0",-32.0,-1.85,13280600,17.1,1.45,2.00,22590300600
38,7211,三菱自,東P,334.4,-6.8,-1.99,12911500,44.8,0.50,2.99,4317605600
39,6366,千代建,東S,917,-19,-2.03,12634700,2.97,-4.3,ー,11586019900
40,9831,ヤマダＨＤ,東P,547.1,+0.5,+0.09,12486100,13.3,0.57,3.11,6831145310
41,8766,東京海上,東P,"7,511",-76,-1.00,12118700,13.8,2.65,2.81,91023555700
42,8750,第一生命ＨＤ,東P,"1,447.5",+9.5,+0.66,12062600,12.8,1.28,3.59,17460613500
43,5803,フジクラ,東P,"27,630",-485,-1.73,11990600,50.8,15.0,0.78,331300278000
44,1459,楽天Ｗベア,東Ｅ,198,+1,+0.51,11553967,ー,ー,ー,2287685466
45,5020,ＥＮＥＯＳ,東P,"1,434.5",+32.5,+2.32,11470900,28.6,1.21,2.37,16455006050
46,2181,パーソルＨＤ,東P,233.1,+3.3,+1.44,10983700,12.7,2.50,4.72,2560300470
47,6613,ＱＤレーザ,東G,"1,171",+15,+1.30,10874200,ー,9.80,ー,12733688200
48,8031,三井物,東P,"6,540",+150,+2.35,10752100,22.6,2.20,1.76,70318734000
49,5802,住友電,東P,"9,480",-405,-4.10,10709000,23.1,2.97,1.24,101521320000
50,1356,ＴＰＸベア２,東Ｅ,143.9,+0.6,+0.42,10666660,ー,ー,ー,1534932374
51,7532,パンパシＨＤ,東P,983.0,+12.1,+1.25,10665900,27.5,4.48,0.86,10484579700
52,6522,アスタリスク,東G,"1,500",+59,+4.09,10605900,180,6.92,ー,15908850000
53,5801,古河電,東P,"30,890","-1,320",-4.10,10524900,40.2,5.75,0.52,325114161000
54,8410,セブン銀,東P,277.8,+2.9,+1.05,10469500,29.5,1.19,3.96,2908427100
55,7013,ＩＨＩ,東P,"3,500.0",+13.0,+0.37,10433600,29.7,6.58,0.57,36517600000
56,4063,信越化,東P,"6,140",-151,-2.40,10144400,24.2,2.64,1.73,62286616000
57,9107,川崎汽,東P,"2,770.5",+77.0,+2.86,10090200,15.2,1.01,4.33,27954899100
58,9433,ＫＤＤＩ,東P,"2,723.0",+13.0,+0.48,10067300,13.9,2.09,2.94,27413257900
59,4755,楽天グループ,東P,745.0,+0.7,+0.09,9995100,ー,1.63,ー,7446349500
60,8411,みずほＦＧ,東P,"6,379",+11,+0.17,9881900,13.8,1.39,2.27,63036640100
61,3436,ＳＵＭＣＯ,東P,"1,850.5",-1.0,-0.05,9878200,ー,1.12,ー,18279609100
62,6526,ソシオネクス,東P,"2,037.0",+50.0,+2.52,9862500,53.3,2.77,2.45,20089912500
63,6762,ＴＤＫ,東P,"2,110.5",+14.0,+0.67,9860700,21.1,1.91,1.61,20811007350
64,6752,パナＨＤ,東P,"2,667.5",-26.5,-0.98,9725700,26.0,1.24,1.50,25943304750
65,6723,ルネサス,東P,"2,354.5",-35.0,-1.46,9497100,ー,1.75,ー,22360921950
