date,rank,name,code,market,stock_price,diff_price,diff_percent,trade_value,PER,PBR,yield
20260521,4141,ＯＳＧコーポ,6757,東S,827,+6,+0.73%,1,14.4倍,1.74倍,4.84%
20260521,4142,ＲＶＨ,6786,東S,50,+1,+2.04%,1,ー倍,1.62倍,ー%
20260521,4143,京写,6837,東S,298,0,0.00%,1,10.1倍,0.44倍,3.02%
