No,コード,銘柄名,市場,株価,前日比,前日比(%),出来高(株),PER(倍),PBR(倍),利回り(%),売買金額
1,8918,ランド,東S,9,-1,-10.00,207135400,10.2,1.51,ー,1864218600
2,9432,ＮＴＴ,東P,154.0,+1.0,+0.65,161553600,13.0,1.32,3.44,24879254400
3,1360,日経ベア２,東Ｅ,95.8,+3.4,+3.68,153793190,ー,ー,ー,14733387602
4,4564,オンコセラピ,東G,27,-2,-6.90,147309300,ー,5.01,ー,3977351100
5,6740,Ｊディスプレ,東P,110,+1,+0.92,113528900,ー,-14,ー,12488179000
6,4597,ソレイジア,東G,38,+2,+5.56,88151800,ー,5.92,ー,3349768400
7,9434,ＳＢ,東P,224.3,+2.0,+0.90,86565100,20.1,4.42,3.83,19416551930
8,3823,ＷＨＤＣ,東S,55,+14,+34.15,86431100,ー,5.26,ー,4753710500
9,8729,ソニーＦＧ,東P,149.7,+2.3,+1.56,75692700,20.1,1.51,2.54,11331197190
10,9501,東電ＨＤ,東P,624.0,-14.0,-2.19,53950200,ー,0.36,ー,33664924800
11,5803,フジクラ,東P,"5,762",-189,-3.18,49543600,63.6,18.8,0.62,285470223200
12,9984,ＳＢＧ,東P,"4,527",-145,-3.10,47876600,ー,1.65,0.24,216737368200
13,285A,キオクシア,東P,"30,530","-3,340",-9.86,43942400,34.4,17.0,ー,1341561472000
14,8306,三菱ＵＦＪ,東P,"2,870.0",-76.5,-2.60,40793100,15.4,1.52,2.58,117076197000
15,3103,ユニチカ,東S,"3,085",+504,+19.53,38468100,8.89,3.91,ー,118674088500
16,5016,ＪＸ金属,東P,"4,899",-57,-1.15,29090200,48.8,6.84,0.55,142512889800
17,3350,メタプラ,東S,345,+2,+0.58,25595600,ー,0.96,ー,8830482000
18,7201,日産自,東P,365.0,-4.8,-1.30,24552300,ー,0.26,ー,8961589500
19,7011,三菱重,東P,"4,371",-200,-4.38,24317700,56.5,5.54,0.55,106292666700
20,3697,ＳＨＩＦＴ,東P,750.0,+79.2,+11.81,21795000,ー,5.02,ー,16346250000
21,6762,ＴＤＫ,東P,"2,616.0",+76.0,+2.99,21676400,26.1,2.37,1.30,56705462400
22,8136,サンリオ,東P,"1,032.5",-20.5,-1.95,19406200,24.1,9.09,1.28,20036901500
23,5401,日本製鉄,東P,595.0,-3.0,-0.50,18544700,ー,0.58,4.03,11034096500
24,4755,楽天グループ,東P,834.6,+6.0,+0.72,18236000,ー,1.83,ー,15219765600
25,3436,ＳＵＭＣＯ,東P,"2,095.0",-232.5,-9.99,16407700,ー,1.27,ー,34374131500
26,8105,ＢＴＣＪＰＮ,東S,171,-6,-3.39,16295300,ー,4.08,ー,2786496300
27,6758,ソニーＧ,東P,"3,395.0",-12.0,-0.35,16015200,17.7,2.46,0.74,54371604000
28,7013,ＩＨＩ,東P,"3,120.0",-90.0,-2.80,15677700,26.5,5.87,0.64,48914424000
