No,コード,銘柄名,市場,株価,前日比,前日比(%),出来高(株),PER(倍),PBR(倍),利回り(%),売買金額
1,4564,オンコセラピ,東G,29,+3,+11.54,227952000,ー,5.38,ー,6610608000
2,1360,日経ベア２,東Ｅ,92.4,-5.0,-5.13,192006670,ー,ー,ー,17741416308
3,8918,ランド,東S,10,0,0.00,178670000,11.4,1.68,ー,1786700000
4,9432,ＮＴＴ,東P,153.0,-1.0,-0.65,143387100,12.9,1.31,3.46,21938226300
5,6740,Ｊディスプレ,東P,109,+17,+18.48,139485900,ー,-14,ー,15203963100
6,9984,ＳＢＧ,東P,"4,672",+228,+5.13,95147700,ー,1.70,0.24,444530054400
7,8729,ソニーＦＧ,東P,147.4,+3.0,+2.08,87634300,19.8,1.49,2.58,12917295820
8,4597,ソレイジア,東G,36,+2,+5.88,86007500,ー,5.61,ー,3096270000
9,9434,ＳＢ,東P,222.3,+1.5,+0.68,67404900,19.9,4.38,3.87,14984109270
10,5803,フジクラ,東P,"5,951",+268,+4.72,53271700,65.7,19.4,0.60,317019886700
11,285A,キオクシア,東P,"33,870","+1,460",+4.50,46786500,38.2,18.9,ー,1584658755000
12,8306,三菱ＵＦＪ,東P,"2,946.5",+33.0,+1.13,42419100,15.8,1.56,2.51,124987878150
13,5016,ＪＸ金属,東P,"4,956",+63,+1.29,41985000,49.4,6.92,0.54,208077660000
14,9501,東電ＨＤ,東P,638.0,+5.5,+0.87,39936400,ー,0.37,ー,25479423200
15,7201,日産自,東P,369.8,+7.7,+2.13,30867900,ー,0.26,ー,11414949420
16,3350,メタプラ,東S,343,+16,+4.89,27050100,ー,0.95,ー,9278184300
17,8136,サンリオ,東P,"1,053.0",+39.0,+3.85,26129200,24.6,9.27,1.25,27514047600
18,3656,ＫＬａｂ,東P,350,+4,+1.16,24598900,ー,2.68,ー,8609615000
19,1579,日経ブル２,東Ｅ,637.0,+31.0,+5.12,24372260,ー,ー,ー,15525129620
20,6762,ＴＤＫ,東P,"2,540.0",+293.5,+13.06,23937900,25.4,2.30,1.34,60802266000
21,7011,三菱重,東P,"4,571",+10,+0.22,23321000,59.1,5.79,0.53,106600291000
22,3103,ユニチカ,東S,"2,581",+500,+24.03,22762100,7.44,3.27,ー,58748980100
23,2134,北浜ＣＰ,東S,34,+2,+6.25,21788500,ー,3.32,ー,740809000
24,4689,ラインヤフー,東P,428.6,-6.6,-1.52,21348000,ー,0.99,1.70,9149752800
25,7012,川重,東P,"3,187.0",-139.0,-4.18,21036900,29.6,3.30,1.04,67044600300
26,7203,トヨタ,東P,"3,392.0",+11.0,+0.33,20154600,12.4,1.13,2.80,68364403200
27,4755,楽天グループ,東P,828.6,+37.9,+4.79,19473200,ー,1.81,ー,16135493520
28,5401,日本製鉄,東P,598.0,0,0.00,18976400,ー,0.59,4.01,11347887200
29,3436,ＳＵＭＣＯ,東P,"2,327.5",+89.0,+3.98,18756100,ー,1.41,ー,43654822750
30,1306,野村東証指数,東Ｅ,404.4,+4.8,+1.20,17643250,ー,ー,ー,7134930300
31,1459,楽天Ｗベア,東Ｅ,152,-8,-5.00,17409814,ー,ー,ー,2646291728
32,7267,ホンダ,東P,"1,301.5",+16.5,+1.28,17158800,ー,0.41,5.38,22332178200
33,7013,ＩＨＩ,東P,"3,210.0",+57.0,+1.81,16676300,27.2,6.04,0.62,53530923000
34,8604,野村,東P,"1,387.5",+24.5,+1.80,15801200,ー,1.10,ー,21924165000
35,6981,村田製,東P,"4,792",+272,+6.02,15342100,39.7,3.34,1.25,73519343200
36,6501,日立,東P,"5,220",0,0.00,15083400,30.9,3.70,ー,78735348000
37,6758,ソニーＧ,東P,"3,407.0",+67.0,+2.01,15017000,17.8,2.46,0.73,51162919000
38,7211,三菱自,東P,328.5,+9.1,+2.85,14026300,44.0,0.49,3.04,4607639550
39,7272,ヤマハ発,東P,"1,128.0",-42.0,-3.59,12809700,11.0,0.97,4.43,14449341600
40,6613,ＱＤレーザ,東G,"1,381",+43,+3.21,12719600,ー,11.6,ー,17565767600
41,5856,ＬＩＥＨ,東S,32,-4,-11.11,12579600,ー,1.40,ー,402547200
42,3697,ＳＨＩＦＴ,東P,670.8,+0.7,+0.10,12290600,ー,4.49,ー,8244534479
43,1357,日経Ｄインバ,東Ｅ,"3,767",-200,-5.04,12284036,ー,ー,ー,46273963612
44,8316,三井住友ＦＧ,東P,"5,690",+40,+0.71,11580100,14.5,1.39,2.76,65890769000
45,6702,富士通,東P,"3,679.0",+50.0,+1.38,11260700,15.0,3.19,1.36,41428115300
46,4568,第一三共,東P,"2,889.0",+57.0,+2.01,11121300,18.3,3.07,2.70,32129435700
47,6857,アドテスト,東P,"28,625","+1,040",+3.77,10852600,63.2,30.8,ー,310655675000
48,7261,マツダ,東P,"1,110.5",+32.0,+2.97,10175500,35.0,0.39,4.95,11299892750
49,8001,伊藤忠,東P,"2,011.5",+17.0,+0.85,10073800,15.6,2.23,2.09,20263448700
50,8411,みずほＦＧ,東P,"6,872",-83,-1.19,9620500,14.8,1.50,2.11,66112076000
51,8801,三井不,東P,"1,759.0",-19.5,-1.10,9612200,17.7,1.50,1.93,16907859800
52,3382,セブン＆アイ,東P,"2,033.5",+34.5,+1.73,9536100,17.4,1.30,2.95,19391659350
53,8058,三菱商,東P,"5,086",+97,+1.94,9443600,26.6,2.05,2.16,48030149600
54,6902,デンソー,東P,"1,917.5",+2.5,+0.13,9172600,12.3,0.98,3.34,17588460500
55,7974,任天堂,東P,"8,324",+135,+1.65,9169100,27.4,3.23,2.17,76323588400
56,6701,ＮＥＣ,東P,"4,328",+59,+1.38,9060800,ー,2.78,0.74,39215142400
57,4005,住友化,東P,531.4,-1.6,-0.30,9047100,16.0,0.85,2.54,4807628940
58,3315,日本コークス,東P,108,+3,+2.86,8964800,ー,0.85,ー,968198400
59,7269,スズキ,東P,"1,921.0",+43.5,+2.32,8913400,9.50,1.12,2.39,17122641400
60,5020,ＥＮＥＯＳ,東P,"1,406.5",-7.0,-0.50,8629400,28.0,1.19,2.42,12137251100
61,8308,りそなＨＤ,東P,"1,914.0",-16.5,-0.85,8546700,17.2,1.58,1.52,16358383800
62,9602,東宝,東P,"1,449.5",-70.5,-4.64,8430700,29.4,2.34,1.52,12220299650
63,1605,ＩＮＰＥＸ,東P,"3,948",-87,-2.16,8358100,13.9,0.97,2.74,32997778800
64,4063,信越化,東P,"6,910",+101,+1.48,8265500,27.3,2.97,1.53,57114605000
65,6723,ルネサス,東P,"2,765.5",+94.0,+3.52,8246900,ー,2.05,ー,22806801950
66,6752,パナＨＤ,東P,"2,996.0",+71.0,+2.43,8106200,29.1,1.39,1.34,24286175200
67,6532,ベイカレント,東P,"5,300",-287,-5.14,8055900,16.7,6.88,2.45,42696270000
68,4506,住友ファーマ,東P,"2,197.5",+5.5,+0.25,7994900,8.56,3.02,ー,17568792750
69,1366,ｉＦ日経Ｗベ,東Ｅ,95,-5,-5.00,7927038,ー,ー,ー,753068610
70,5802,住友電,東P,"10,140",+589,+6.17,7908600,24.7,3.18,1.16,80193204000
71,6366,千代建,東S,"1,173",+55,+4.92,7639800,3.80,-5.6,ー,8961485400
72,186A,アストロＨＤ,東G,"1,384",+17,+1.24,7380400,ー,18.0,ー,10214473600
73,543A,ＡＲＣＨＩＯ,東P,388,-14,-3.48,7136800,13.4,4.65,ー,2769078400
74,6326,クボタ,東P,"2,607.5",-143.5,-5.22,6920900,14.1,1.13,1.99,18046246750
75,1356,ＴＰＸベア２,東Ｅ,126.2,-2.8,-2.17,6825210,ー,ー,ー,861341502
