No,コード,銘柄名,市場,株価,前日比,前日比(%),出来高(株),PER(倍),PBR(倍),利回り(%),売買金額
1,6740,Ｊディスプレ,東P,100,+6,+6.38,286306400,ー,-13,ー,28630640000
2,8918,ランド,東S,10,0,0.00,268367000,11.4,1.68,ー,2683670000
3,9432,ＮＴＴ,東P,152.5,+1.4,+0.93,215759900,12.9,1.31,3.48,32903384750
4,4564,オンコセラピ,東G,24,0,0.00,154929000,ー,4.45,ー,3718296000
5,1360,日経ベア２,東Ｅ,93.6,+2.1,+2.30,118742090,ー,ー,ー,11114259624
6,8729,ソニーＦＧ,東P,139.9,+1.7,+1.23,103282900,18.8,1.41,2.72,14449277710
7,9984,ＳＢＧ,東P,"5,219",-49,-0.93,101484400,ー,1.90,0.21,529647083600
8,9434,ＳＢ,東P,221.9,+2.6,+1.19,87637200,19.9,4.38,3.88,19446694680
9,9501,東電ＨＤ,東P,592.2,-18.9,-3.09,53614000,ー,0.40,ー,31750210800
10,4597,ソレイジア,東G,33,-1,-2.94,51557300,ー,5.14,ー,1701390900
11,8306,三菱ＵＦＪ,東P,"2,817.0",-58.0,-2.02,39443000,15.1,1.49,2.63,111110931000
12,5803,フジクラ,東P,"5,971",-310,-4.94,39274600,65.9,19.5,0.60,234508636600
13,4883,モダリス,東G,80,+14,+21.21,35417200,ー,2.68,ー,2833376000
14,6762,ＴＤＫ,東P,"2,890.5",+213.5,+7.98,33512200,24.4,2.51,1.38,96867014100
15,7203,トヨタ,東P,"3,023.0",-89.0,-2.86,32130400,11.0,1.01,3.14,97130199200
16,8136,サンリオ,東P,915.0,-56.6,-5.83,31880200,21.3,8.06,1.44,29170383000
17,6702,富士通,東P,"3,180.0",-513.0,-13.89,31769000,17.8,2.72,1.73,101025420000
18,6981,村田製,東P,"5,156",+316,+6.53,30704800,32.0,3.45,1.36,158313948800
19,7201,日産自,東P,356.0,-6.5,-1.79,29742300,ー,0.25,ー,10588258800
20,3436,ＳＵＭＣＯ,東P,"2,476.0",+128.5,+5.47,29488100,ー,1.50,ー,73012535600
21,285A,キオクシア,東P,"37,560","+1,240",+3.41,29168400,42.4,21.0,ー,1095565104000
22,5401,日本製鉄,東P,572.3,-5.5,-0.95,27367000,ー,0.56,4.19,15662134099
23,6758,ソニーＧ,東P,"3,113.0",-121.0,-3.74,27241300,16.3,2.25,0.80,84802166900
24,7011,三菱重,東P,"4,615",-182,-3.79,26836400,59.6,5.85,0.52,123849986000
25,6723,ルネサス,東P,"3,212.0",+299.0,+10.26,26404400,ー,2.29,ー,84810932800
26,4661,ＯＬＣ,東P,"2,188.5",-246.0,-10.10,23914700,31.5,3.26,0.73,52337320950
27,3350,メタプラ,東S,326,-2,-0.61,23025500,ー,0.91,ー,7506313000
28,6501,日立,東P,"4,882",-165,-3.27,22771900,25.8,3.34,ー,111172415800
29,3656,ＫＬａｂ,東P,210,-35,-14.29,21672200,ー,1.63,ー,4551162000
30,6701,ＮＥＣ,東P,"4,101",-343,-7.72,21434400,ー,2.48,0.98,87902474400
31,7013,ＩＨＩ,東P,"2,853.0",-106.5,-3.60,21212200,24.2,5.37,0.70,60518406600
32,8001,伊藤忠,東P,"1,938.0",-20.5,-1.05,20313000,15.1,2.15,2.17,39366594000
33,7211,三菱自,東P,306.2,-12.8,-4.01,19276600,41.0,0.46,3.27,5902494920
34,7267,ホンダ,東P,"1,266.5",-27.0,-2.09,19163800,ー,0.40,5.53,24270952700
35,6902,デンソー,東P,"1,882.5",+36.0,+1.95,18844900,13.3,0.92,3.93,35475524250
36,8113,ユニチャーム,東P,912.1,-29.1,-3.09,18341900,18.1,1.98,2.41,16729646990
37,6526,ソシオネクス,東P,"1,859.0",-150.5,-7.49,18203100,32.6,2.45,2.69,33839562900
38,1306,野村東証指数,東Ｅ,394.1,-5.9,-1.48,17418510,ー,ー,ー,6864634791
39,5016,ＪＸ金属,東P,"4,790",-34,-0.70,17397000,47.7,6.68,0.56,83331630000
40,3103,ユニチカ,東S,"2,438",+204,+9.13,17314000,7.03,3.09,ー,42211532000
41,4063,信越化,東P,"7,246",+165,+2.33,17278400,ー,3.02,ー,125199286400
42,8604,野村,東P,"1,256.5",-17.5,-1.37,17254600,ー,0.98,ー,21680404900
43,8058,三菱商,東P,"4,990",+77,+1.57,16646400,26.1,2.01,2.20,83065536000
44,4689,ラインヤフー,東P,412.3,-5.0,-1.20,16224200,ー,0.95,1.77,6689237660
45,4503,アステラス,東P,"2,232.0",-74.0,-3.21,15340800,13.3,2.19,3.58,34240665600
46,8316,三井住友ＦＧ,東P,"5,512",-136,-2.41,15242200,14.0,1.34,2.85,84015006400
47,6085,アーキテクツ,東G,615,-25,-3.91,15236600,"1,864",-317,ー,9370509000
48,8267,イオン,東P,"1,510.0",-58.5,-3.73,14813500,57.2,3.43,0.99,22368385000
49,6752,パナＨＤ,東P,"3,203.0",+142.0,+4.64,14720800,31.2,1.49,1.25,47150722400
50,7269,スズキ,東P,"1,748.5",-51.5,-2.86,14389200,8.65,1.02,2.63,25159516200
