No,コード,銘柄名,市場,株価,前日比,前日比(%),出来高(株),PER(倍),PBR(倍),利回り(%),売買金額
1,8918,ランド,東S,10,0,0.00,229910600,11.4,1.68,ー,2299106000
2,4564,オンコセラピ,東G,23,-1,-4.17,179113400,ー,4.27,ー,4119608200
3,9432,ＮＴＴ,東P,152.0,-0.5,-0.33,174375200,12.8,1.30,3.49,26505030400
4,6740,Ｊディスプレ,東P,89,-11,-11.00,120637600,ー,-11,ー,10736746400
5,9501,東電ＨＤ,東P,612.7,+20.5,+3.46,72810900,ー,0.41,ー,44611238430
6,1360,日経ベア２,東Ｅ,92.9,-0.7,-0.75,72255040,ー,ー,ー,6712493216
7,9984,ＳＢＧ,東P,"5,424",+205,+3.93,72065400,ー,1.98,0.20,390882729600
8,9434,ＳＢ,東P,220.6,-1.3,-0.59,60774500,19.8,4.35,3.90,13406854700
9,8729,ソニーＦＧ,東P,141.5,+1.6,+1.14,60612700,19.0,1.43,2.69,8576697050
10,4597,ソレイジア,東G,32,-1,-3.03,57571400,ー,4.98,ー,1842284800
11,8058,三菱商,東P,"5,219",+229,+4.59,46978900,17.4,2.02,2.40,245182879100
12,8001,伊藤忠,東P,"1,987.0",+49.0,+2.53,43957400,14.6,2.11,2.21,87343353800
13,8306,三菱ＵＦＪ,東P,"2,798.0",-19.0,-0.67,28643100,15.0,1.48,2.64,80143393800
14,5803,フジクラ,東P,"5,808",-163,-2.73,28397000,64.1,19.0,0.62,164929776000
15,5401,日本製鉄,東P,571.9,-0.4,-0.07,24588800,ー,0.56,4.20,14062334720
16,7201,日産自,東P,350.7,-5.3,-1.49,23522400,ー,0.25,ー,8249305680
17,7203,トヨタ,東P,"3,000.0",-23.0,-0.76,21904100,11.0,1.00,3.17,65712300000
18,4088,エアウォータ,東P,"1,895.5",-323.0,-14.56,19920400,ー,0.98,3.96,37759118200
19,8136,サンリオ,東P,909.9,-5.1,-0.56,19693700,21.2,8.01,1.45,17919297630
20,285A,キオクシア,東P,"36,410","-1,150",-3.06,19165800,41.1,20.3,ー,697826778000
21,6981,村田製,東P,"5,138",-18,-0.35,18404600,31.9,3.44,1.36,94562834800
22,6702,富士通,東P,"3,075.0",-105.0,-3.30,18375800,17.2,2.63,1.79,56505585000
23,7211,三菱自,東P,303.4,-2.8,-0.91,17570900,40.6,0.46,3.30,5331011060
24,8053,住友商,東P,"6,840","+1,000",+17.12,17136600,13.0,1.76,2.34,117214344000
25,8002,丸紅,東P,"5,755",-317,-5.22,15975800,16.3,2.16,2.00,91940729000
26,7013,ＩＨＩ,東P,"2,880.0",+27.0,+0.95,15600000,24.4,5.42,0.69,44928000000
27,6758,ソニーＧ,東P,"3,127.0",+14.0,+0.45,14988600,16.3,2.26,0.80,46869352200
28,5016,ＪＸ金属,東P,"4,770",-20,-0.42,14941500,47.5,6.66,0.57,71270955000
29,6762,ＴＤＫ,東P,"2,775.5",-115.0,-3.98,14435800,23.4,2.41,1.44,40066562900
30,4883,モダリス,東G,66,-14,-17.50,14371300,ー,2.21,ー,948505800
31,7267,ホンダ,東P,"1,262.5",-4.0,-0.32,14005300,ー,0.39,5.54,17681691250
